_id,MODEL_CD
67dbab520dc9badbe92b99d7,BREZZA
67dbab550dc9badbe92b9a08,BREZZA
67dbab550dc9badbe92b9a0f,BREZZA
67dbab520dc9badbe92b99d8,BREZZA
67dbab550dc9badbe92b9a15,BREZZA
67dbab550dc9badbe92b9a18,BREZZA
67dbab520dc9badbe92b99da,BREZZA
67dbab530dc9badbe92b99e0,BREZZA
67f75b4e297b3a5cefba923f,S-PRESSO
67dbab520dc9badbe92b99dc,BREZZA
67dbab530dc9badbe92b99dd,BREZZA
67dbab530dc9badbe92b99de,BREZZA
67dbab530dc9badbe92b99df,BREZZA
67dbab540dc9badbe92b9a05,BREZZA
67dbab550dc9badbe92b9a07,BREZZA
67dbab530dc9badbe92b99e1,BREZZA
67dbab530dc9badbe92b99e5,BREZZA
67dbab530dc9badbe92b99ec,BREZZA
67dbab530dc9badbe92b99e2,BREZZA
67f75b4e297b3a5cefba9240,S-PRESSO
67f75b4f297b3a5cefba9256,S-PRESSO
67dbab530dc9badbe92b99e3,BREZZA
67dbab530dc9badbe92b99e9,BREZZA
67dbab550dc9badbe92b9a13,BREZZA
67dbab530dc9badbe92b99e4,BREZZA
67dbab530dc9badbe92b99e7,BREZZA
67dbab560dc9badbe92b9a31,BREZZA
67dbab530dc9badbe92b99e6,BREZZA
67dbab530dc9badbe92b99e8,BREZZA
67dbab560dc9badbe92b9a2d,BREZZA
67dbab530dc9badbe92b99ed,BREZZA
67f75b4e297b3a5cefba9241,S-PRESSO
67f75b4e297b3a5cefba924b,S-PRESSO
67dbab530dc9badbe92b99ee,BREZZA
67dbab530dc9badbe92b99ef,BREZZA
67dbab530dc9badbe92b99f0,BREZZA
67dbab530dc9badbe92b99f1,BREZZA
67dbab540dc9badbe92b99f3,BREZZA
67f75b4e297b3a5cefba9242,S-PRESSO
67dbab540dc9badbe92b99f2,BREZZA
67f75b4e297b3a5cefba9243,S-PRESSO
67f75b4e297b3a5cefba9245,S-PRESSO
67dbab540dc9badbe92b99f4,BREZZA
67dbab560dc9badbe92b9a28,BREZZA
67dbab580dc9badbe92b9a4a,BREZZA
67dbab540dc9badbe92b99f5,BREZZA
67f75b4e297b3a5cefba9244,S-PRESSO
67f75b4f297b3a5cefba925e,S-PRESSO
67dbab540dc9badbe92b99f7,BREZZA
67f75b4e297b3a5cefba9246,S-PRESSO
67f75b52297b3a5cefba929e,S-PRESSO
67dbab540dc9badbe92b99f8,BREZZA
67dbab560dc9badbe92b9a1d,BREZZA
67dbab560dc9badbe92b9a1f,BREZZA
67dbab540dc9badbe92b99f9,BREZZA
67dbab540dc9badbe92b99fa,BREZZA
67dbab540dc9badbe92b9a01,BREZZA
67dbab540dc9badbe92b99fb,BREZZA
